userid,orderType
100000000371,0.015644734725356102
100000001215,0.0028403005562722683
100000001445,0.006206422112882137
100000001575,0.9970148801803589
100000001601,0.00018662321963347495
100000001737,0.9995917677879333
100000001829,0.007904407568275928
100000002055,0.01441976334899664
100000002241,0.020026275888085365
100000003067,0.0007218832615762949
100000004161,0.9982137680053711
100000004307,0.019168691709637642
100000004855,0.9951425790786743
100000005055,0.002872508717700839
100000005701,0.0335446372628212
100000006247,0.006567375268787146
100000006327,0.09040956944227219
100000006333,0.0025389338843524456
100000006397,0.001051452592946589
100000007397,0.27920132875442505
100000007525,0.38238200545310974
100000007951,0.05745471268892288
100000007955,0.1749645173549652
100000008131,0.0018429041374474764
100000008427,0.007197824772447348
100000008745,0.007795064710080624
100000009049,0.01016677264124155
100000009197,0.10024664551019669
100000009419,0.28288379311561584
100000009629,0.002036287449300289
100000009961,0.9968619346618652
100000010157,0.9865678548812866
100000011403,0.001204300788231194
100000012993,0.0028947500977665186
100000013089,0.9306195974349976
100000013205,0.007641367148607969
100000013455,0.008415142074227333
100000013591,0.08556487411260605
100000013861,0.0007642694399692118
100000014191,0.4722500145435333
100000014963,0.016509151086211205
100000015053,0.002691546455025673
100000015077,0.9986905455589294
100000015351,0.8753185868263245
100000015659,0.9996428489685059
100000016411,0.01734570600092411
100000016637,0.002129347762092948
100000016665,0.004446899518370628
100000016715,0.1960453987121582
100000016843,0.006155850365757942
100000017191,0.04089004173874855
100000017255,0.0007199606043286622
100000017517,0.0012886899057775736
100000017533,0.10913801193237305
100000018131,0.9660788178443909
100000018141,0.021800214424729347
100000018219,0.004642742685973644
100000018439,0.056014541536569595
100000018651,0.000558438419830054
100000018843,0.08164820075035095
100000019085,0.04192741960287094
100000019503,0.007481380831450224
100000019777,0.0008708311361260712
100000019831,0.05940474569797516
100000019875,0.26068809628486633
100000020599,0.27716803550720215
100000020705,0.5172134041786194
100000020839,0.11455980688333511
100000021007,0.029654711484909058
100000021741,0.006841953378170729
100000023031,0.12663330137729645
100000023341,0.0015904027968645096
100000023847,0.0014161625877022743
110020671228,0.9922916293144226
110100014968,0.07039943337440491
110100016420,0.08826697617769241
110100016422,0.0007561593665741384
110100018261,0.33658483624458313
110100035666,0.0346185676753521
110100073025,0.009333324618637562
110100073927,0.9996814727783203
110100116029,0.0005289957043714821
110100133766,0.014417019672691822
110100171523,0.010068838484585285
